ARPT_IDENT	NAME	STATE_PROV	ICAO	FAA_HOST_ID	LOC_HDATUM	WGS_DATUM	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	ELEV	TYPE	MAG_VAR	WAC	BEACON	SECOND_ARPT	OPR_AGY	SEC_NAME	SEC_ICAO	SEC_FAA	SEC_OPR_AGY	CYCLE_DATE	TERRAIN	HYDRO
BR32944	GUARULHOS GOV ANDRE FRANCO MONTOURO		SBGR	N	WGE	WGE	S23255547	-23.432075	W046281024	-46.469511	02459	B	W019596 0106	1262	Y		ML					200605		
BR33394	TUPA		SB	SDTP	WGE	WGE	S21532060	-21.889056	W050301827	-50.505075	01805	D	W018025 0106	1261			CI					200604		
BR33419	PONTA PELADA		SBMN	N	WGE	WGE	S03084575	-3.146042	W059591068	-59.986300	00267	C	W014173 0106	0948	Y		MI					200608		
BR33920	FAZENDA AMALIA		SB	SDFH	WGE	WGE	S21263843	-21.444008	W047221508	-47.370856	02318	D	W019539 0106	1262			PV					200509		
BR34329	CARUARU		SB	SNRU	WGE	WGE	S08165661	-8.282392	W036004861	-36.013503	01891	D	W022278 0106	1066	Y		CI					200411		
BR34415	TARAUACA		SBTK	N	WGE	WGE	S08091892	-8.155256	W070465977	-70.783269	00646	D	W005401 0106	1072			CI					200502		
BR34450	SANTA MARIA		SBSM	N	WGE	WGE	S29424089	-29.711358	W053411735	-53.688153	00287	B	W013229 0106	1384	Y		ML					200605		
BR35309	ALTA FLORESTA		SBAT	N	WGE	WGE	S09515793	-9.866092	W056062234	-56.106206	00947	A	W016130 0106	1069			CI					200601		
BR36149	GURUPI		SB	SWGI	WGE	WGE	S11442265	-11.739625	W049075587	-49.132186	01138	D	W019544 0106	1068			CI					200502		
BR36558	MOSTARDAS		SB	SSMT	WGE	WGE	S31061300	-31.103611	W050543700	-50.910278	00059	D	W014507 0106	1384			CI					200413		
BR37253	MONTE ALEGRE		SB	SNMA	WGE	WGE	S01594488	-1.995800	W054042713	-54.074203	00325	D	W017369 0106	0947			CI					200607		
BR37495	CHACARA SERRADINHO		SB	SDXE	WGE	WGE	S21155329	-21.264803	W048212188	-48.356078	02037	D	W019244 0106	1262			PV					200512		
BR37946	HIDROELETRICA		SBIT	N	WGE	WGE	S18264078	-18.444661	W049124810	-49.213361	01630	D	W019223 0106	1190			PV					200601		
BR38454	SENADOR PETRONIO PORTELLA		SBTE	N	WGE	WGE	S05033579	-5.059942	W042492452	-42.823478	00219	A	W021248 0106	1017	Y		CI					200510		
BR38456	PORTO SEGURO		SBPS	N	WGE	WGE	S16261910	-16.438639	W039045130	-39.080917	00168	D	W023165 0106	1189	Y		CI					200605		
BR38615	SAO RAIMUNDO NONATO		SB	SNSN	WGE	WGE	S09014100	-9.028056	W042405950	-42.683194	01247	D	W021570 0106	1067			CI					200601		
BR38720	MARABA		SBMA	N	WGE	WGE	S05220692	-5.368589	W049081689	-49.138025	00357	D	W019478 0106	1016	Y		CI					200609		
BR39522	ERECHIM		SB	SSER	WGE	WGE	S27394300	-27.661945	W052160600	-52.268333	02498	D	W015139 0106	1314	Y		CI					200509		
BR39554	POCOS DE CALDAS		SBPC	N	WGE	WGE	S21503485	-21.843014	W046340450	-46.567917	04135	D	W020141 0106	1262	Y		CI					200605		
BR39632	FAZENDA CAMPO GRANDE		SB	SDKO	WGE	WGE	S20152774	-20.257706	W048471882	-48.788561	01830	D	W019204 0106	1262			PV					200509		
