ARPT_IDENT	HIGH_IDENT	LOW_IDENT	HIGH_HDG	LOW_HDG	LENGTH	RWY_WIDTH	SURFACE	PCN	HE_WGS_LAT	HE_WGS_DLAT	HE_WGS_LONG	HE_WGS_DLONG	HE_ELEV	HE_SLOPE	HE_TDZE	HE_DT	HE_DT_ELEV	HLGT_SYS_1	HLGT_SYS_2	HLGT_SYS_3	HLGT_SYS_4	HLGT_SYS_5	HLGT_SYS_6	HLGT_SYS_7	HLGT_SYS_8	LE_WGS_LAT	LE_WGS_DLAT	LE_WGS_LONG	LE_WGS_DLONG	LE_ELEV	LE_SLOPE	LE_TDZE	LE_DT	LE_DT_ELEV	LLGT_SYS_1	LLGT_SYS_2	LLGT_SYS_3	LLGT_SYS_4	LLGT_SYS_5	LLGT_SYS_6	LLGT_SYS_7	LLGT_SYS_8	HE_TRUE_HDG	LE_TRUE_HDG	CLD_RWY	HELAND_DIS	HE_TAKEOFF	LELAND_DIS	LE_TAKEOFF	CYCLE_DATE
AG42788	22	04	222.0	42.0	09843	00148	ASP	087FAWT	N27505300	27.848056	W000103600	-0.176667	919.0	0.0	U		U									N27493800	27.827222	W000114600	-0.196111	915.0	0.0	U		U	07	08	11	50					220.0	40.0		09843	09843	09843	09843	200304
AG47849	23	05	234.0	54.0	12737	00246	SAN		N28533869	28.894081	W005483047	-5.808464	U	U	U		U									N28521985	28.872181	W005502228	-5.839522	U	U	U		U									231.0	51.0	C	12737	12737	12737	12737	200308
AG47849	24	06	234.0	54.0	07740	00100	ASP		N28530926	28.885906	W005484846	-5.813461	U	U	U		U									N28522136	28.872600	W005495641	-5.832336	U	U	U		U									231.0	51.0		07740	07740	07740	07740	200308
AG51688	25	07	248.0	68.0	04265	00070	ASP		N35451631	35.754531	E000375836	0.632878	240.0	-0.5	U		U									N35445980	35.749944	E000371080	0.619667	217.0	0.5	U		U									246.9	66.9		04265	04265	04265	04265	200404
AG53963	24	06	238.0	58.0	09843	00148	ASP	052FAWT	N29143900	29.244167	E000172000	0.288889	1020.0	U	U		U									N29134500	29.229167	E000154700	0.263056	1024.0	U	U		U									236.0	56.0		09843	09843	09843	09843	200304
AG53997	26	08	260.0	80.0	09840	00150	ASP		N27421838	27.705106	W008091005	-8.152792	U	U	U		U	34	50							N27415419	27.698386	W008105596	-8.182211	U	U	U		U									256.0	76.0		09840	09840	09840	09840	200510
AG53997	26L	08R	260.0	80.0	09840	00150	ASP		N27420848	27.702356	W008090711	-8.151975	U	U	U		U	50								N27414429	27.695636	W008105315	-8.181431	U	U	U		U									256.0	76.0		09840	09840	09840	09840	200110
AG56340	31	13	310.0	130.0	09469	00148	ASP		N34470630	34.785083	E005450168	5.750467	236.0	0.5	U		U									N34480594	34.801650	E005433414	5.726150	285.0	-0.5	U		U									310.0	130.0		09469	10147	09469	10147	200111
AG58525	23	05	225.0	45.0	03550	00080	BIT		N35543448	35.909578	E000090106	0.150294	U	U	U	0070	U									N35540924	35.902567	E000083107	0.141964	U	U	U		U									224.0	44.0		03480	03550	03550	03550	200404
AG58525	31	13	307.8	127.8	02275	00100	BIT		N35542076	35.905767	E000091555	0.154319	U	U	U		U									N35543420	35.909500	E000085339	0.148164	U	U	U		U									306.7	126.7		02275	02275	02275	02275	200404
AG63302	23	05	227.0	47.0	09843	00148	ASP		N28034884	28.063567	E009392663	9.657397	1841.0	0.0	U		U	04	05	43						N28024224	28.045067	E009380638	9.635106	1837.0	0.0	U		U	04	05	43						227.0	47.0		09843	09843	09843	09843	200203
AG63302	33	15	325.0	145.0	07218	00098	ASP		N28030976	28.052711	E009383123	9.642008	1847.0	-0.1	U		U	04								N28040847	28.069019	E009374512	9.629200	1841.0	0.1	U		U	04								325.0	145.0		07218	07218	07218	07366	200305
AG64680	23	05	233.0	53.0	11483	00197	ASP	074FDWT	N36424632	36.712867	E003150504	3.251400	82.0	-0.1	U		U	05	43	50	53					N36413810	36.693917	E003131260	3.220167	72.0	0.1	U		U	05	53							233.0	53.0		11483	11483	11483	11483	200607
AG64680	27	09	272.0	92.0	11483	00148	ASP	078FDWT	N36412820	36.691167	E003123570	3.209917	66.0	-0.1	U		U	50								N36413168	36.692133	E003101500	3.170833	56.0	0.1	U		U	05	50							272.0	92.0		11483	12500	11483	11483	200503
AG68480	32	14	316.0	136.0	07874	00148	ASP		N36160800	36.268889	E006380000	6.633333	2254.0	0.6	U		U	05	06	08	43					N36170400	36.284444	E006365300	6.614722	2303.0	-0.6	U		U	05	06	08	43					316.0	136.0		07874	08214	07874	08074	200413
AG68480	34	16	339.0	159.0	09843	00148	ASP	093FDWT	N36154600	36.262778	E006372100	6.622500	2316.0	U	U		U									N36171700	36.288056	E006363800	6.610556	2313.0	U	U		U									339.0	159.0		09843	10243	09843	10243	200413
AG69802	28	10	279.0	99.0	04868	00100	ASP		N35101517	35.170881	W000350674	-0.585206	1588.0	-0.3	U		U									N35102161	35.172669	W000360485	-0.601347	1575.0	0.3	U		U									277.7	97.7		04868	04868	04868	04868	200404
AG69864	26	08	253.0	73.0	08216	00098	PEM		N26424919	26.713664	E000175132	0.297589	955.0	-0.3	U		U									N26422313	26.706425	E000162550	0.273750	928.0	0.3	U		U									251.3	71.3		08216	08216	08216	08216	200307
AG70333	26	08	264.0	84.0	05577	00098	ASP		N35123263	35.209064	E000092278	0.156328	U	U	U		U									N35122299	35.206386	E000081665	0.137958	1686.0	U	U		U									260.0	80.0		05577	05577	05577	05577	200304
AG72115	19	01	190.0	10.0	09843	00148	ASP	054FBWT	N33051200	33.086667	E006053100	6.091944	259.0	0.2	U		U	07								N33033600	33.060000	E006051400	6.087222	279.0	-0.2	U		U	07	50							189.0	9.0		09843	11293	09843	11353	200310
AG74167	29	11	293.0	113.0	09843	00148	ASP	059FDWT	N35254086	35.428017	E008081452	8.137367	2671.0	-0.2	U		U	05								N35261845	35.438458	E008062454	8.106817	2648.0	0.2	U		U	05								293.0	113.0		09843	10188	09843	10188	200403
AG74167	30	12	301.3	121.3	07874	00098	ASP		N35252745	35.424292	E008075007	8.130575	2661.0	-0.1	U		U	05								N35260843	35.435675	E008062918	8.108106	2654.0	0.1	U		U	05								301.8	121.8		07874	07874	07874	07874	200304
AG75759	27L	09R	272.0	92.0	10696	00148	ASP		N35312627	35.523964	E002534807	2.896686	2132.0	0.0	U		U									N35312853	35.524592	E002513881	2.860781	2132.0	0.0	U		U									271.0	91.0		10696	10696	10696	10696	200111
AG75759	27R	09L	272.0	92.0	10696	00148	ASP		N35313459	35.526275	E002534817	2.896714	2132.0	0.0	U		U									N35313688	35.526911	E002513889	2.860803	2132.0	0.0	U		U									271.0	91.0		10696	10696	10696	10696	200111
AG76660	36	18	4.0	184.0	09843	00148	ASP		N31393348	31.659300	E006082142	6.139283	456.0	0.0	U		U	07								N31411140	31.686500	E006082988	6.141633	459.0	0.0	U		U	07								4.0	184.0		09843	10171	09843	10171	200304
AG76755	20	02	198.0	18.0	06562	00098	ASP	064FAWT	N33304557	33.512658	E006465721	6.782558	200.0	0.0	U		U									N33294384	33.495511	E006463326	6.775906	203.0	0.0	U		U									198.0	18.0		06562	06765	06562	06562	200403
AG76755	31	13	310.0	130.0	09843	00148	ASP	057FAWT	N33303600	33.510000	E006471200	6.786667	206.0	-0.1	U		U	07								N33313900	33.527500	E006454300	6.761944	200.0	0.1	U		U	07								310.0	130.0		09843	10043	09843	10037	200403
AG77314	25	07	249.0	69.0	10039	00148	ASP		N35374512	35.629200	W000362034	-0.605650	295.0	0.0	U	0196	U	04	05	10	50					N35370666	35.618517	W000381218	-0.636717	295.0	0.0	U		U	03	04	05	13					247.0	67.0		09843	10367	10039	10039	200304
AG83343	25	07	248.0	68.0	05833	00150	ASP		N36302889	36.508025	E002491890	2.821917	U	U	U		U									N36300500	36.501389	E002481190	2.803306	U	U	U	0350	U									246.4	66.4		05833	05833	05483	05943	200607
AG85161	30	12	303.0	123.0	10171	00197	ASP		N32220823	32.368953	E003491999	3.822219	1427.0	0.6	U		U	05	09	43						N32230213	32.383925	E003474010	3.794472	1490.0	-0.6	U		U	05	09	44						302.4	122.4		10171	10471	10171	10171	200304
AG85161	36	18	4.0	184.0	07874	00148	ASP	033FBWT	N32230000	32.383333	E003474100	3.794722	1490.0	0.3	U		U									N32241800	32.405000	E003474500	3.795833	1512.0	-0.3	U		U									3.0	183.0		07874	07874	07874	07874	200508
AG86488	22	04	223.0	43.0	07218	00098	ASP		N35202379	35.339942	E004125262	4.214617	U	U	U		U									N35193029	35.325081	E004115435	4.198431	1506.0	U	U		U									222.0	42.0		07218	07218	07218	07218	200609
AG87342	35	17	351.0	171.0	07874	00148	ASP	060FDXT	N36470397	36.784436	E005523256	5.875711	36.0	-0.2	U		U	05								N36482100	36.805833	E005521741	5.871503	20.0	0.2	U		U	05	50							351.0	171.0		07874	07874	07874	07874	200609
AG93130	23	05	232.0	52.0	09843	00148	ASP	051FBXT	N27153430	27.259528	E002312553	2.523758	883.0	0.1	U		U	07								N27143305	27.242514	E002300100	2.500278	896.0	-0.1	U		U	07								231.0	51.0		09843	09993	09843	09993	200609
AG94193	36	18	356.0	176.0	04248	00098	ASP		N34532897	34.891381	E000090827	0.152297	U	U	U		U									N34541083	34.903008	E000090393	0.151092	U	U	U		U									355.1	175.1		04248	04248	04248	04248	200404
AG96833	27	09	267.4	87.4	06565	00140	BIT		N27350239	27.583997	W007292284	-7.489678	U	U	U		U									N27345394	27.581650	W007303518	-7.509772	U	U	U		U									262.5	82.5		06565	06565	06565	06565	200112
AG96833	27L	09R	267.0	87.0	07765	00140	ASP		N27351123	27.586453	W007291747	-7.488186	U	U	U		U									N27350123	27.583675	W007304302	-7.511950	U	U	U		U									262.5	82.5		07765	08265	07765	08220	200112
